title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
#1 Anagrams,Switch,Eclipse Games,"['Puzzle', 'Logic']",E,"May 14, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
#1 Crosswords,Switch,Eclipse Games,"['Puzzle', 'Logic']",E,"Feb 12, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
#1 Sudokus,Switch,Eclipse Games,"['Puzzle', 'Logic']",E,"Nov 25, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
#Breakforcist Battle,Switch,Lucid Sheep Games,"['Action', 'Puzzle', 'General', 'Arcade']",T,"Apr 12, 2018",,0,No score yet,1,2,0,tbd,No user score yet,1,0,0
#DRIVE,Switch,Dariusz Pietrala,"['Racing', 'Arcade', 'Automobile']",E,"Feb 16, 2021",,69,Mixed or average reviews,3,4,0,7.0,Mixed or average reviews,3,1,1
#Funtime,Switch,One Guy Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"Jul 16, 2020",,0,No score yet,0,1,0,tbd,No user score yet,0,0,1
"#Halloween, Super Puzzles Dream",Switch,Jorge Biedma Azuar,"['Puzzle', 'General', 'Stacking']",E,"Oct 29, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
#KILLALLZOMBIES,Switch,Beatshapers,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,"Jan 24, 2019",,0,No score yet,0,1,1,tbd,No user score yet,2,0,0
"#NoLimitFantasy, Super Puzzles Dream",Switch,Jorge Biedma Azuar,"['Puzzle', 'General', 'Stacking']",E,"Aug 28, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
"#pinocchio, Super Puzzles Dream",Switch,Jorge Biedma Azuar,"['General', 'Puzzle', 'Stacking']",E,"Jul 22, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
#RaceDieRun,Switch,QubicGames,"['Racing', 'Arcade', 'Futuristic']",E,"Aug  9, 2019",,0,No score yet,0,1,1,6.8,Mixed or average reviews,2,1,1
#SinucaAttack,Switch,EastAsiaSoft,"['Puzzle', 'Action']",E,"Feb 10, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
"#Wish travel, Super Puzzles Dream",Switch,Jorge Biedma Azuar,"['Puzzle', 'General']",E,"May 14, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
"#womenUp, Super Puzzles Dream",Switch,Jorge Biedma Azuar,"['Puzzle', 'General', 'Stacking']",E,"May 30, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
"#Xmas, Super Puzzles Dream",Switch,Jorge Biedma Azuar,"['Puzzle', 'General', 'Stacking']",E,"Dec 31, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
'n Verlore Verstand,Switch,Skobbejak Games,"['Adventure', '3D', 'First-Person']",E,"Dec  7, 2018",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
-KLAUS-,Switch,La Cosa Entertainment,"['Action', 'Platformer', '2D']",E10+,"Jun 18, 2020",,0,No score yet,1,0,0,tbd,No user score yet,1,0,0
.cat,Switch,GAME NACIONAL,"['Action', 'Adventure', 'General', 'Platformer', '2D']",E,"Apr 10, 2021",,0,No score yet,0,0,0,6.1,Mixed or average reviews,13,1,8
.cat Milk,Switch,Bernardo Game Studio,"['Action', 'Platformer', '2D']",E,"Aug 13, 2021",,0,No score yet,0,0,0,6.1,Mixed or average reviews,3,1,3
.dog,Switch,BERGAMES,"['Action', 'Platformer', '2D']",E,"Nov  6, 2021",,0,No score yet,0,0,0,6.5,Mixed or average reviews,2,1,1
.hack//G.U. Last Recode,Switch,CyberConnect2,"['Miscellaneous', 'Compilation']",T,"Mar 10, 2022",,76,Generally favorable reviews,5,2,0,7.1,Mixed or average reviews,5,1,2
0 Degrees,Switch,"Kiddo Dev, Nerd Games","['Action', 'Puzzle', 'Platformer', '2D']",E,"May 19, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,1,0
0x0 Minimalist,Switch,Indie Team,"['Miscellaneous', 'Edutainment', 'Puzzle', 'General']",E,"Dec  4, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
1-2-Switch,Switch,Nintendo,"['Miscellaneous', 'Party / Minigame']",E10+,"Mar  3, 2017",,58,Mixed or average reviews,4,48,11,4.8,Generally unfavorable reviews,145,113,212
10 Second Ninja X,Switch,Thalamus Digital Publishing Ltd.,"['Action', 'Platformer', '2D']",T,"Jul 30, 2021",,0,No score yet,0,0,0,tbd,No user score yet,1,1,0
10 Second Run Returns,Switch,Blue Print,"['Action', 'Platformer', 'Arcade', '2D']",E,"Jan 25, 2018",,0,No score yet,1,2,0,tbd,No user score yet,3,0,0
1001 Ultimate Mahjong 2,Switch,NAWIA GAMES,"['Edutainment', 'Miscellaneous', 'Puzzle', 'General', 'Board / Card Game']",E,"Oct 25, 2018",,0,No score yet,0,0,0,tbd,No user score yet,1,0,0
103,Switch,Dystopia Interactive,"['Adventure', '3D', 'First-Person']",T,"Oct  2, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
112 Operator,Switch,Jutsu Games,"['Strategy', 'General']",M,"Jul 23, 2021",,0,No score yet,0,1,0,tbd,No user score yet,0,1,0
112th Seed,Switch,Nerd Game Studio,"['Puzzle', 'Action']",E,"Aug  6, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
12 is Better Than 6,Switch,Ink Stains Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,"Mar  5, 2019",,59,Mixed or average reviews,5,2,3,7.4,Mixed or average reviews,5,1,1
12 Labours of Hercules,Switch,JetDogs Studios,"['Strategy', 'Real-Time', 'General']",E,"Mar 24, 2019",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
12 Labours of Hercules II: The Cretan Bull,Switch,JetDogs Studios,"['Strategy', 'Real-Time', 'General']",E,"Apr  6, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
12 Labours of Hercules III: Girl Power,Switch,JetDogs Studios,"['Strategy', 'Real-Time', 'General']",E,"Jan 15, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
12 Labours of Hercules IV: Mother Nature,Switch,JetDogs Studios,"['Strategy', 'Real-Time', 'General']",E,"Aug 31, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
12 Labours of Hercules V: Kids of Hellas,Switch,JetDogs Studios,"['Strategy', 'Real-Time', 'General']",E,"Mar  2, 2022",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
12 Labours of Hercules VI: Race for Olympus,Switch,JetDogs Studios,"['Strategy', 'General']",E,"Jan  2, 2023",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
12 orbits,Switch,Roman Uhlig,"['Action', 'Miscellaneous', 'General', 'Party / Minigame']",E,"Apr 27, 2018",,0,No score yet,0,3,0,tbd,No user score yet,1,0,0
123 Dots,Switch,Artax Games,"['Miscellaneous', 'Edutainment']",E,"Aug  5, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
13 Sentinels: Aegis Rim,Switch,Vanillaware,"['Adventure', 'General']",T,"Apr 12, 2022",,88,Generally favorable reviews,31,1,0,8.7,Generally favorable reviews,131,5,15
140,Switch,Jeppe Carlsen,"['Action', 'Platformer', '2D']",E,"Jan  9, 2020",,70,Mixed or average reviews,3,4,0,tbd,No user score yet,3,4,0
15in1 Solitaire,Switch,Inlogic Software,"['Miscellaneous', 'Board / Card Game']",E,"Feb 24, 2022",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
16-Bit Soccer,Switch,Sprakelsoft,"['Sports', 'Team', 'Soccer', 'Arcade']",E,"Jan 14, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
1912: Titanic Mystery,Switch,Ocean Media,"['Adventure', 'General']",,"Feb 25, 2021",,0,No score yet,0,1,0,tbd,No user score yet,0,1,0
1917: The Alien Invasion DX,Switch,Andrade Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",T,"Jun 14, 2018",,0,No score yet,0,0,1,tbd,No user score yet,0,0,1
1971 Project Helios,Switch,Reco Technology,"['Strategy', 'Turn-Based', 'Tactics']",T,"Jun  9, 2020",,0,No score yet,0,0,0,7.4,Mixed or average reviews,4,1,2
1979 Revolution: Black Friday,Switch,iNK Stories,"['Adventure', 'General']",M,"Aug  2, 2018",,77,Generally favorable reviews,3,4,0,7.3,Mixed or average reviews,9,5,2
198X,Switch,Hi-Bit Studios,"['Action', 'Miscellaneous', 'Platformer', 'Party / Minigame', '2D']",T,"Jan 23, 2020",,65,Mixed or average reviews,3,7,0,7.1,Mixed or average reviews,12,3,5
1993 Shenandoah,Switch,Limit Break,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",E,"Jul  9, 2020",,0,No score yet,0,2,0,tbd,No user score yet,2,0,0
20 Ladies,Switch,Nerd Games,"['Action', 'Platformer', '2D']",M,"Nov 19, 2021",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
2048 Battles,Switch,Baltoro Games,"['Puzzle', 'General']",E,"Sep 20, 2019",,0,No score yet,0,1,0,6.2,Mixed or average reviews,2,3,1
2048 CAT,Switch,Millo Games,"['Miscellaneous', 'Puzzle', 'Edutainment', 'Logic']",E,"Dec 23, 2019",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
2064: Read Only Memories INTEGRAL,Switch,MidBoss,"['Adventure', 'Point-and-Click']",M,"Jul 26, 2018",,74,Mixed or average reviews,3,4,0,6.5,Mixed or average reviews,8,3,4
20XX,Switch,Batterystaple Games,"['Action', 'Platformer', '2D']",E10+,"Jul 10, 2018",,77,Generally favorable reviews,9,5,0,7.6,Generally favorable reviews,9,5,1
2in1 - Application Driver and Serial Killer / Sniper,Switch,Studio Joao Victor,"['Action', 'General']",,"May  5, 2021",,0,No score yet,0,0,0,7.8,Generally favorable reviews,3,2,0
2URVIVE,Switch,2BAD GAMES,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,"Nov 24, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
2weistein - The Curse of the Red Dragon,Switch,Red Octopus,"['Miscellaneous', 'Adventure', 'General', 'Edutainment']",E10+,"Sep 14, 2020",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
